trip_id,truck_id,driver_id,route_id,trip_date,distance_km,fuel_liters,load_tons,travel_time_hours,scheduled_time_hours,delivery_status
TR0080,T077,D015,R003,2025-12-14 09:01:31.167178,360,117.86,2.48,7.49,6.02,Late
TR0081,T023,D004,R001,2026-05-18 09:01:31.168178,554,144.95,4.22,10.45,12.21,On Time
TR0082,T003,D018,R005,2026-07-20 09:01:31.170178,608,200.61,5.18,13.2,12.96,Late
TR0083,T061,D022,R006,2026-01-02 09:01:31.172178,594,146.45,2.88,10.07,11.27,On Time
TR0084,T079,D040,R006,2026-04-15 09:01:31.173178,568,143.63,3.81,10.79,9.69,Late
TR0085,T004,D007,R002,2026-07-23 09:01:31.175178,235,52.26,2.3,4.15,4.07,Late
TR0086,T057,D012,R006,2026-07-14 09:01:31.177178,570,132.6,3.09,10.4,11.44,On Time
TR0087,T082,D022,R004,2025-12-19 09:01:31.178968,371,103.15,2.48,9.28,7.44,Late
TR0088,T065,D046,R008,2025-10-16 09:01:31.181056,302,89.87,2.61,4.76,5.31,On Time
TR0089,T099,D023,R004,2026-05-23 09:01:31.183056,369,93.61,2.68,7.88,7.65,Late
TR0090,T059,D003,R008,2025-10-11 09:01:31.184056,289,86.74,2.24,6.35,6.22,Late
TR0091,T020,D033,R003,2026-07-31 09:01:31.186055,403,92.73,2.82,10.36,8.76,Late
TR0092,T096,D011,R005,2025-12-03 09:01:31.188055,644,198.44,4.4,11.99,13.72,On Time
TR0093,T086,D020,R002,2026-02-12 09:01:31.189055,239,71.95,2.54,5.04,4.11,Late
TR0094,T093,D023,R008,2025-11-25 09:01:31.191055,267,60.18,2.48,4.89,4.94,On Time
TR0095,T020,D033,R007,2025-12-06 09:01:31.193056,718,207.25,3.86,12.32,12.44,On Time
TR0096,T098,D007,R002,2025-11-02 09:01:31.195056,249,68.25,2.38,5.18,4.36,Late
TR0097,T083,D025,R005,2026-05-03 09:01:31.196654,632,247.6,2.12,12.67,10.72,Late
TR0098,T035,D029,R006,2026-06-16 09:01:31.198650,610,151.56,5.44,10.27,10.37,On Time
TR0099,T073,D049,R002,2026-09-01 09:01:31.200650,274,82.99,2.06,6.41,5.81,Late
TR0100,T068,D026,R004,2026-04-10 09:01:31.201650,347,106.69,3.18,6.12,6.7,On Time
TR0101,T100,D027,R001,2026-06-28 09:01:31.203650,607,166.98,4.84,11.43,13.12,On Time
TR0102,T007,D006,R008,2025-11-10 09:01:31.205650,307,115.28,2.42,6.06,5.94,Late
TR0103,T035,D029,R003,2026-04-24 09:01:31.206650,373,93.02,3.29,8.17,7.99,Late
TR0104,T076,D016,R005,2025-11-14 09:01:31.208650,628,176.71,2.23,11.87,12.65,On Time
TR0105,T027,D015,R004,2026-04-21 09:01:31.210654,353,80.4,2.54,7.22,6.25,Late
TR0106,T001,D015,R008,2025-09-21 09:01:31.212166,295,73.86,2.22,6.2,6.19,Late
TR0107,T072,D043,R006,2026-08-26 09:01:31.214237,619,161.36,3.73,12.41,12.3,Late
TR0108,T059,D003,R005,2026-02-21 09:01:31.216237,655,246.64,5.03,13.47,13.18,Late
TR0109,T054,D038,R007,2025-11-04 09:01:31.217237,694,254.18,4.33,15.01,15.32,On Time
TR0110,T089,D040,R005,2026-02-05 09:01:31.219237,655,203.18,4.51,11.34,12.71,On Time
TR0111,T068,D026,R003,2026-03-30 09:01:31.221237,365,110.89,3.48,7.25,7.35,On Time
TR0112,T010,D025,R007,2026-03-22 09:01:31.222237,708,187.98,3.78,12.4,13.37,On Time
TR0113,T083,D025,R004,2026-06-20 09:01:31.225251,386,138.08,2.99,7.9,8.29,On Time
TR0114,T098,D007,R006,2026-01-07 09:01:31.226251,614,161.11,3.84,14.93,12.88,Late
TR0115,T073,D049,R003,2025-10-22 09:01:31.228237,408,111.51,3.21,8.89,7.39,Late
TR0116,T080,D017,R006,2026-08-13 09:01:31.230413,586,138.58,3.86,9.8,10.77,On Time
TR0117,T081,D018,R005,2026-08-10 09:01:31.231413,616,150.51,3.33,11.32,11.43,On Time
TR0118,T058,D043,R005,2026-08-01 09:01:31.233412,599,229.17,4.63,9.18,10.42,On Time
TR0119,T065,D046,R002,2026-08-26 09:01:31.235411,256,74.74,2.28,5.6,4.8,Late
TR0120,T074,D002,R003,2026-08-16 09:01:31.236411,401,139.41,2.86,7.8,7.42,Late
TR0121,T044,D017,R007,2025-09-19 09:01:31.238411,721,270.17,4.22,11.41,13.18,On Time
TR0122,T057,D012,R005,2026-04-25 09:01:31.240415,630,177.69,3.65,13.29,13.3,On Time
TR0123,T100,D027,R004,2026-03-29 09:01:31.242411,355,92.02,2.11,8.54,7.75,Late
TR0124,T013,D042,R004,2025-10-15 09:01:31.244414,369,95.68,3.58,8.53,7.49,Late
TR0125,T078,D008,R007,2026-03-21 09:01:31.246154,731,261.0,3.57,17.64,15.81,Late
TR0126,T084,D022,R002,2026-08-04 09:01:31.247150,276,72.17,2.19,6.67,5.88,Late
TR0127,T049,D007,R002,2025-10-01 09:01:31.249149,273,66.86,2.57,5.33,4.77,Late
TR0128,T012,D018,R008,2026-04-11 09:01:31.251148,305,79.41,2.17,4.97,5.8,On Time
TR0129,T028,D001,R005,2026-07-08 09:01:31.253151,618,140.6,2.66,11.12,11.82,On Time
TR0130,T038,D030,R008,2025-12-21 09:01:31.254148,318,78.01,2.04,6.44,6.04,Late
TR0131,T044,D017,R003,2026-06-25 09:01:31.256147,416,103.16,2.34,8.87,8.86,Late
TR0132,T089,D040,R008,2026-08-25 09:01:31.258149,313,83.48,2.39,6.09,5.35,Late
TR0133,T087,D015,R002,2026-01-30 09:01:31.260148,278,93.44,2.15,5.19,5.38,On Time
TR0134,T031,D031,R003,2026-06-09 09:01:31.261648,379,85.53,2.7,8.09,6.68,Late
TR0135,T074,D002,R001,2025-12-20 09:01:31.263769,575,167.96,3.58,11.71,11.68,Late
TR0136,T021,D010,R001,2026-08-21 09:01:31.264775,599,206.59,4.42,13.29,11.08,Late
TR0137,T048,D043,R005,2026-07-15 09:01:31.266770,632,144.67,3.22,11.99,11.35,Late
TR0138,T098,D007,R008,2026-02-05 09:01:31.268769,274,89.97,2.09,4.25,4.68,On Time
TR0139,T029,D003,R003,2026-08-20 09:01:31.270769,412,121.1,2.75,7.06,8.2,On Time
TR0140,T048,D043,R004,2026-04-06 09:01:31.272770,349,106.65,3.53,7.1,7.55,On Time
TR0141,T092,D018,R005,2026-01-18 09:01:31.273770,638,201.22,4.97,11.7,13.52,On Time
TR0142,T018,D036,R002,2026-08-07 09:01:31.275769,280,71.59,2.01,4.61,5.41,On Time
TR0143,T028,D001,R006,2026-02-12 09:01:31.277773,619,221.15,2.44,11.45,10.47,Late
TR0144,T037,D026,R004,2025-11-02 09:01:31.279354,349,112.5,2.75,7.77,7.63,Late
TR0145,T015,D038,R004,2025-12-27 09:01:31.280348,387,89.79,2.94,6.14,7.17,On Time
TR0146,T092,D018,R007,2025-11-28 09:01:31.282349,685,222.22,4.11,15.08,15.21,On Time
TR0147,T086,D020,R008,2025-12-21 09:01:31.284347,306,114.55,2.51,4.5,5.13,On Time
TR0148,T065,D046,R002,2026-03-02 09:01:31.286348,267,105.09,2.61,3.99,4.6,On Time
TR0149,T033,D026,R007,2025-10-15 09:01:31.288349,723,285.49,5.18,12.57,12.72,On Time
TR0150,T099,D023,R001,2025-12-11 09:01:31.289349,584,147.09,3.28,10.14,11.68,On Time
TR0151,T083,D025,R001,2026-01-14 09:01:31.291349,558,134.11,4.38,12.55,10.1,Late
TR0152,T018,D036,R004,2026-06-05 09:01:31.293350,338,85.96,2.07,4.94,5.71,On Time
TR0153,T026,D026,R008,2025-12-12 09:01:31.294897,320,123.85,2.44,5.72,5.42,Late
TR0154,T005,D035,R007,2026-08-23 09:01:31.297060,724,190.84,6.38,17.55,14.69,Late
TR0155,T043,D027,R003,2026-02-03 09:01:31.298060,377,137.14,3.7,9.0,7.46,Late
TR0156,T050,D014,R005,2025-12-25 09:01:31.300059,618,138.96,3.14,12.36,11.78,Late
TR0157,T011,D050,R008,2026-06-16 09:01:31.302060,310,92.56,2.51,7.51,6.02,Late
TR0158,T042,D026,R006,2025-11-12 09:01:31.304064,572,215.03,4.84,10.13,10.42,On Time
TR0159,T022,D032,R004,2026-03-20 09:01:31.306060,378,111.58,3.01,8.34,7.31,Late
TR0160,T056,D050,R003,2025-10-08 09:01:31.308059,377,99.76,3.21,5.79,6.63,On Time
TR0161,T047,D016,R001,2026-07-05 09:01:31.309059,579,141.14,5.2,12.91,10.49,Late
TR0162,T087,D015,R006,2025-10-21 09:01:31.311059,616,182.45,3.45,12.41,13.14,On Time
TR0163,T050,D014,R001,2026-03-11 09:01:31.312678,607,167.01,3.4,12.58,11.22,Late
TR0164,T098,D007,R003,2025-10-19 09:01:31.314676,364,99.78,2.53,6.94,6.88,Late
TR0165,T015,D038,R005,2025-12-03 09:01:31.316674,598,150.58,2.5,11.44,11.39,Late
TR0166,T100,D027,R001,2025-09-26 09:01:31.318678,563,144.06,5.46,12.79,11.68,Late
TR0167,T063,D007,R005,2026-02-01 09:01:31.319675,609,221.84,6.26,10.86,10.54,Late
TR0168,T088,D043,R002,2025-12-09 09:01:31.321674,286,63.94,2.34,5.9,5.2,Late
TR0169,T039,D013,R008,2026-06-19 09:01:31.323672,318,112.97,2.75,6.45,5.71,Late
TR0170,T066,D028,R006,2026-01-07 09:01:31.324673,580,211.47,2.1,10.94,12.08,On Time
TR0171,T071,D029,R002,2025-11-07 09:01:31.326674,268,82.77,2.55,5.03,4.7,Late
TR0172,T009,D039,R004,2026-02-18 09:01:31.328162,353,107.09,3.26,6.59,6.33,Late
TR0173,T074,D002,R007,2026-01-21 09:01:31.330272,680,247.21,5.44,12.03,13.67,On Time
TR0174,T045,D021,R007,2026-06-15 09:01:31.332270,684,160.72,5.88,13.34,12.06,Late
TR0175,T017,D039,R004,2025-12-25 09:01:31.334271,361,102.97,2.25,7.36,6.22,Late
TR0176,T022,D032,R002,2025-12-25 09:01:31.335272,242,76.94,2.55,4.3,4.35,On Time
TR0177,T011,D050,R003,2025-10-31 09:01:31.337271,376,129.99,2.58,6.09,6.34,On Time
TR0178,T069,D044,R005,2026-06-30 09:01:31.339271,602,171.75,2.73,15.54,12.67,Late
TR0179,T080,D017,R002,2026-08-26 09:01:31.340272,278,64.59,2.51,6.77,5.55,Late
TR0180,T004,D007,R008,2025-10-18 09:01:31.342271,269,103.82,2.2,5.32,4.92,Late
TR0181,T074,D002,R001,2025-12-11 09:01:31.344271,573,153.36,3.09,15.2,12.61,Late
TR0182,T039,D013,R003,2026-01-27 09:01:31.345789,390,130.45,2.14,6.91,6.83,Late
TR0183,T008,D011,R002,2025-11-10 09:01:31.347908,242,71.61,2.09,4.31,4.63,On Time
TR0184,T092,D018,R006,2026-07-12 09:01:31.349910,586,147.67,5.01,12.55,10.12,Late
TR0185,T066,D028,R007,2026-01-29 09:01:31.351911,711,262.13,3.25,13.14,14.62,On Time
TR0186,T013,D042,R002,2026-05-12 09:01:31.352933,235,76.29,2.6,5.08,4.63,Late
TR0187,T021,D010,R003,2026-06-27 09:01:31.354909,412,130.59,2.95,7.49,7.68,On Time
TR0188,T066,D028,R005,2026-02-27 09:01:31.356908,626,178.98,4.16,10.84,12.61,On Time
TR0189,T031,D031,R001,2025-11-15 09:01:31.358908,560,152.73,5.33,11.79,12.25,On Time
TR0190,T084,D022,R005,2026-02-08 09:01:31.359908,640,185.98,2.57,14.34,12.06,Late
TR0191,T034,D009,R004,2026-08-21 09:01:31.362438,380,117.59,2.94,6.46,7.44,On Time
TR0192,T025,D034,R007,2025-12-09 09:01:31.363562,699,193.82,3.42,15.94,15.16,Late
TR0193,T080,D017,R008,2026-03-09 09:01:31.365562,307,82.48,2.75,5.81,6.54,On Time
TR0194,T044,D017,R007,2025-12-30 09:01:31.367561,711,162.41,4.03,11.73,12.62,On Time
TR0195,T006,D037,R004,2025-12-25 09:01:31.368560,336,130.34,2.75,7.06,6.03,Late
TR0196,T078,D008,R008,2026-06-25 09:01:31.370560,321,90.91,2.37,7.04,6.43,Late
TR0197,T079,D040,R008,2025-12-30 09:01:31.372559,311,74.31,2.5,6.08,5.77,Late
TR0198,T091,D025,R006,2025-10-07 09:01:31.374560,602,194.22,2.43,10.49,10.52,On Time
TR0199,T054,D038,R005,2025-10-29 09:01:31.375560,634,203.51,2.11,13.0,10.84,Late
TR0200,T061,D022,R006,2025-11-25 09:01:31.378087,582,131.25,2.9,11.91,10.26,Late
TR0201,T007,D006,R008,2026-03-06 09:01:31.380397,301,86.97,2.14,6.48,5.69,Late
TR0202,T088,D043,R006,2026-09-07 09:01:31.382385,581,226.68,3.75,8.77,9.81,On Time
TR0203,T054,D038,R006,2025-11-07 09:01:31.383376,575,172.88,5.65,12.57,11.96,Late
TR0204,T095,D031,R006,2026-04-03 09:01:31.385377,612,233.18,5.95,12.13,13.0,On Time
TR0205,T062,D002,R003,2025-12-18 09:01:31.387375,393,120.79,2.65,6.84,6.62,Late
TR0206,T046,D035,R005,2025-09-27 09:01:31.389385,640,158.26,3.13,12.7,11.47,Late
TR0207,T062,D002,R006,2026-04-17 09:01:31.391381,578,130.93,5.05,11.39,11.75,On Time
TR0208,T091,D025,R008,2025-12-04 09:01:31.392384,277,71.38,2.88,5.51,5.29,Late
TR0209,T093,D023,R002,2026-02-26 09:01:31.394383,249,80.96,2.51,4.96,4.65,Late
TR0210,T099,D023,R001,2026-08-07 09:01:31.396111,598,214.11,3.31,16.15,13.11,Late
TR0211,T057,D012,R006,2025-12-15 09:01:31.398113,607,201.47,3.07,10.83,11.63,On Time
TR0212,T072,D043,R004,2026-05-17 09:01:31.400108,378,124.21,2.4,9.29,8.1,Late
TR0213,T086,D020,R004,2026-02-17 09:01:31.401106,391,109.77,2.54,6.25,7.17,On Time
TR0214,T061,D022,R005,2026-06-28 09:01:31.403105,603,156.12,3.74,15.83,12.81,Late
TR0215,T061,D022,R008,2026-04-23 09:01:31.405108,294,77.35,2.61,5.04,5.22,On Time
TR0216,T099,D023,R006,2026-08-28 09:01:31.406109,571,150.08,5.62,13.49,11.78,Late
TR0217,T023,D004,R006,2026-02-25 09:01:31.408103,592,138.82,5.12,15.14,12.43,Late
TR0218,T024,D049,R008,2026-08-28 09:01:31.410102,323,80.79,2.01,5.37,5.56,On Time
TR0219,T073,D049,R004,2025-10-23 09:01:31.411102,372,137.04,2.89,6.0,6.23,On Time
TR0220,T064,D039,R005,2026-06-10 09:01:31.413109,653,149.18,5.45,11.72,11.3,Late
TR0221,T043,D027,R004,2026-09-09 09:01:31.417377,344,86.82,3.21,7.15,6.29,Late
TR0222,T038,D030,R004,2025-10-24 09:01:31.419377,370,96.13,3.47,8.45,7.72,Late
TR0223,T055,D003,R007,2026-07-07 09:01:31.421377,708,224.35,4.42,12.33,13.88,On Time
TR0224,T032,D028,R001,2026-04-01 09:01:31.422377,547,181.03,3.14,12.98,11.27,Late
TR0225,T093,D023,R003,2026-08-16 09:01:31.424378,396,156.96,3.27,8.15,7.23,Late
TR0226,T060,D020,R008,2025-09-21 09:01:31.426379,283,100.37,2.72,6.24,5.12,Late
TR0227,T089,D040,R004,2026-05-26 09:01:31.428377,341,90.27,2.36,5.75,5.77,On Time
TR0228,T018,D036,R007,2026-02-16 09:01:31.430311,706,251.57,5.55,13.72,12.56,Late
TR0229,T061,D022,R004,2026-05-13 09:01:31.432311,382,106.85,3.12,6.51,6.95,On Time
TR0230,T077,D015,R007,2026-03-15 09:01:31.434311,731,179.4,2.4,14.67,13.82,Late
TR0231,T073,D049,R008,2025-11-27 09:01:31.436312,271,103.3,2.5,5.36,5.09,Late
TR0232,T022,D032,R006,2025-11-22 09:01:31.438311,586,139.23,3.94,12.74,11.35,Late
TR0233,T066,D028,R003,2026-01-26 09:01:31.439311,388,94.23,3.07,7.9,7.49,Late
TR0234,T072,D043,R002,2026-05-09 09:01:31.441311,261,67.87,2.51,4.52,5.26,On Time
TR0235,T096,D011,R008,2026-08-15 09:01:31.443310,277,75.75,2.51,5.99,6.06,On Time
TR0236,T008,D011,R008,2026-04-23 09:01:31.444311,323,75.32,2.38,5.61,5.4,Late
TR0237,T099,D023,R007,2026-02-13 09:01:31.447574,684,169.66,3.89,12.7,11.46,Late
TR0238,T049,D007,R001,2025-10-02 09:01:31.448573,575,135.64,5.63,9.81,9.81,On Time
TR0239,T070,D020,R007,2025-12-15 09:01:31.450596,684,179.67,3.99,12.55,13.62,On Time
TR0240,T017,D039,R007,2026-04-17 09:01:31.452573,722,161.98,4.34,14.46,12.55,Late
TR0241,T093,D023,R002,2026-01-24 09:01:31.454574,266,79.44,2.21,4.94,5.25,On Time
TR0242,T036,D049,R003,2025-10-13 09:01:31.456574,372,85.03,2.8,5.96,6.66,On Time
TR0243,T099,D023,R008,2026-07-27 09:01:31.457573,323,75.69,2.56,6.66,7.14,On Time
TR0244,T058,D043,R004,2026-08-25 09:01:31.459572,372,96.77,2.66,6.07,6.4,On Time
TR0245,T030,D014,R004,2026-01-02 09:01:31.461573,368,125.4,3.63,5.54,6.35,On Time
TR0246,T030,D014,R001,2025-10-07 09:01:31.464204,599,138.25,5.09,12.07,11.17,Late
TR0247,T031,D031,R005,2026-02-17 09:01:31.466204,616,144.86,3.28,10.9,10.3,Late
TR0248,T008,D011,R001,2025-10-31 09:01:31.467203,582,132.36,4.56,12.15,10.0,Late
TR0249,T072,D043,R003,2026-03-05 09:01:31.469203,391,150.75,3.49,8.63,7.79,Late
TR0250,T041,D033,R006,2025-12-15 09:01:31.471204,610,183.04,3.88,12.92,12.91,Late
TR0251,T029,D003,R004,2026-08-18 09:01:31.473204,353,83.75,2.92,7.74,7.48,Late
TR0252,T054,D038,R001,2026-03-31 09:01:31.475232,582,163.48,4.44,10.9,11.45,On Time
TR0253,T058,D043,R003,2026-08-21 09:01:31.477204,414,127.69,2.51,9.23,7.81,Late
TR0254,T087,D015,R003,2025-11-20 09:01:31.479240,398,107.4,3.38,6.34,6.85,On Time
TR0255,T072,D043,R003,2026-09-09 09:01:31.480882,373,107.84,2.4,6.32,6.43,On Time
TR0256,T025,D034,R001,2026-05-15 09:01:31.483028,594,217.21,4.62,10.31,9.9,Late
TR0257,T091,D025,R004,2026-04-25 09:01:31.485028,347,105.37,2.62,6.99,7.14,On Time
TR0258,T069,D044,R006,2026-01-05 09:01:31.487028,607,188.6,3.85,13.09,12.41,Late
TR0259,T093,D023,R006,2026-04-09 09:01:31.488024,596,148.14,3.64,11.15,11.97,On Time
TR0260,T073,D049,R005,2025-11-21 09:01:31.490028,652,221.58,4.47,13.19,13.82,On Time
TR0261,T054,D038,R002,2026-05-14 09:01:31.492028,250,89.13,2.31,5.02,5.01,Late
TR0262,T084,D022,R008,2025-10-23 09:01:31.494028,324,83.73,2.7,7.81,6.63,Late
TR0263,T059,D003,R003,2025-12-11 09:01:31.495028,370,93.3,2.93,6.67,7.36,On Time
TR0264,T070,D020,R004,2026-08-09 09:01:31.498406,375,84.95,3.55,8.41,7.09,Late
TR0265,T086,D020,R005,2026-05-21 09:01:31.500403,600,148.93,2.29,13.91,11.72,Late
TR0266,T020,D033,R006,2025-10-25 09:01:31.501403,566,192.68,4.64,9.55,10.92,On Time
TR0267,T079,D040,R002,2025-12-08 09:01:31.503403,290,83.66,2.26,4.72,5.54,On Time
TR0268,T003,D018,R006,2026-01-02 09:01:31.505403,599,151.86,5.22,10.89,11.29,On Time
TR0269,T087,D015,R002,2026-07-29 09:01:31.507403,259,62.98,2.33,3.95,4.42,On Time
