maintenance_id,truck_id,maintenance_date,maintenance_type,repair_cost,downtime_hours
M0277,T038,2026-06-18 09:01:36.573743,Electrical,3693,26
M0278,T033,2026-05-08 09:01:36.573743,Engine,27771,47
M0279,T088,2026-02-17 09:01:36.574743,Engine,2145,8
M0280,T080,2025-09-25 09:01:36.574743,Oil Change,11594,42
M0281,T027,2026-03-29 09:01:36.574743,Electrical,29580,42
M0282,T039,2026-02-19 09:01:36.574743,Tyre,2404,25
M0283,T016,2026-08-28 09:01:36.574743,Brake,22930,37
M0284,T070,2026-09-16 09:01:36.574743,Brake,17069,15
M0285,T002,2026-05-04 09:01:36.574743,Brake,16945,28
M0286,T027,2026-02-12 09:01:36.574743,Brake,29089,34
M0287,T014,2026-05-05 09:01:36.574743,Tyre,23165,19
M0288,T059,2026-07-19 09:01:36.574743,Electrical,25739,39
M0289,T030,2025-11-17 09:01:36.574743,Tyre,27025,15
M0290,T003,2025-11-26 09:01:36.574743,Oil Change,19845,4
M0291,T054,2026-01-06 09:01:36.574743,Oil Change,9523,46
M0292,T097,2025-10-14 09:01:36.574743,Electrical,21535,46
M0293,T001,2025-11-29 09:01:36.575748,Brake,6673,34
M0294,T069,2026-04-27 09:01:36.575748,Electrical,17683,31
M0295,T098,2026-05-01 09:01:36.575748,Tyre,25720,24
M0296,T015,2025-09-20 09:01:36.575748,Brake,28235,23
M0297,T069,2026-01-27 09:01:36.575748,Brake,28717,33
M0298,T016,2026-01-27 09:01:36.575748,Tyre,7440,3
M0299,T083,2026-02-11 09:01:36.575748,Electrical,19348,9
M0300,T014,2026-03-04 09:01:36.575748,Tyre,26416,48
M0301,T099,2026-08-30 09:01:36.575748,Brake,10996,15
M0302,T076,2026-01-02 09:01:36.575748,Electrical,3130,34
M0303,T064,2026-06-03 09:01:36.575748,Electrical,16397,30
M0304,T084,2026-03-17 09:01:36.575748,Electrical,8289,48
M0305,T030,2026-05-30 09:01:36.575748,Oil Change,10304,32
M0306,T058,2026-09-09 09:01:36.576745,Tyre,4089,16
M0307,T092,2026-09-12 09:01:36.576745,Electrical,1408,41
M0308,T015,2026-03-22 09:01:36.576745,Brake,17798,42
M0309,T054,2026-09-05 09:01:36.576745,Brake,18856,10
M0310,T051,2026-07-10 09:01:36.576745,Tyre,9667,12
M0311,T006,2026-05-05 09:01:36.576745,Engine,22469,12
M0312,T030,2026-08-04 09:01:36.576745,Electrical,2141,48
M0313,T084,2026-03-18 09:01:36.576745,Oil Change,16133,10
M0314,T001,2026-05-02 09:01:36.576745,Tyre,3172,3
M0315,T008,2025-09-19 09:01:36.576745,Oil Change,23592,39
M0316,T091,2026-04-30 09:01:36.576745,Engine,19514,15
M0317,T021,2026-05-01 09:01:36.576745,Tyre,26584,17
M0318,T071,2025-10-22 09:01:36.576745,Engine,2949,41
M0319,T062,2025-11-05 09:01:36.577743,Tyre,4237,42
M0320,T019,2026-07-05 09:01:36.577743,Tyre,18825,31
M0321,T004,2025-11-20 09:01:36.577743,Electrical,16553,11
M0322,T096,2026-03-01 09:01:36.577743,Tyre,29362,38
M0323,T053,2026-06-04 09:01:36.577743,Brake,6814,25
M0324,T011,2026-01-06 09:01:36.577743,Tyre,26999,11
M0325,T024,2026-04-21 09:01:36.577743,Engine,9684,46
M0326,T083,2025-10-07 09:01:36.577743,Brake,6648,28
M0327,T013,2026-07-23 09:01:36.577743,Electrical,28146,41
M0328,T007,2026-08-29 09:01:36.577743,Brake,11009,26
M0329,T068,2026-02-08 09:01:36.577743,Engine,23529,26
M0330,T028,2026-08-22 09:01:36.577743,Oil Change,1393,11
M0331,T070,2026-02-24 09:01:36.577743,Oil Change,23756,43
M0332,T022,2026-08-19 09:01:36.577743,Brake,26527,4
M0333,T005,2025-11-16 09:01:36.578743,Tyre,26540,17
M0334,T051,2026-02-16 09:01:36.578743,Brake,3296,38
M0335,T047,2026-06-08 09:01:36.578743,Oil Change,18816,39
M0336,T004,2026-09-11 09:01:36.578743,Tyre,16232,32
M0337,T078,2026-04-09 09:01:36.578743,Engine,2963,8
M0338,T064,2026-05-15 09:01:36.578743,Brake,11929,38
M0339,T002,2026-09-03 09:01:36.578743,Oil Change,8084,41
M0340,T060,2026-08-02 09:01:36.578743,Brake,25662,4
M0341,T084,2026-01-28 09:01:36.578743,Brake,6250,7
M0342,T014,2026-06-04 09:01:36.578743,Electrical,27640,26
M0343,T073,2026-08-26 09:01:36.578743,Electrical,16486,6
M0344,T084,2026-03-01 09:01:36.578743,Oil Change,5670,13
M0345,T016,2026-09-04 09:01:36.578743,Tyre,11361,47
M0346,T100,2026-04-26 09:01:36.578743,Oil Change,26963,9
M0347,T064,2026-07-22 09:01:36.579743,Electrical,6478,37
M0348,T009,2026-01-17 09:01:36.579743,Engine,15902,18
M0349,T040,2026-05-14 09:01:36.579743,Oil Change,2762,11
M0350,T029,2026-04-15 09:01:36.579743,Tyre,29076,10
M0351,T024,2026-03-16 09:01:36.579743,Brake,4042,43
M0352,T051,2026-09-09 09:01:36.579743,Brake,12217,13
M0353,T028,2025-11-20 09:01:36.579743,Tyre,25750,7
M0354,T019,2025-10-11 09:01:36.580746,Engine,20114,19
M0355,T040,2026-01-31 09:01:36.580746,Oil Change,29944,13
M0356,T049,2025-11-05 09:01:36.580746,Engine,7823,45
M0357,T024,2026-02-13 09:01:36.580746,Tyre,11348,8
M0358,T029,2026-07-12 09:01:36.580746,Oil Change,14401,7
M0359,T084,2026-01-21 09:01:36.580746,Electrical,27815,21
M0360,T093,2025-12-05 09:01:36.580746,Engine,23188,10
M0361,T035,2026-03-24 09:01:36.580746,Tyre,20147,36
M0362,T045,2026-07-21 09:01:36.580746,Oil Change,2214,10
M0363,T014,2026-07-24 09:01:36.580746,Electrical,22869,9
M0364,T041,2025-12-16 09:01:36.580746,Electrical,28577,7
M0365,T022,2026-02-08 09:01:36.580746,Electrical,29863,27
M0366,T097,2025-09-22 09:01:36.580746,Tyre,25002,40
M0367,T069,2026-02-17 09:01:36.580746,Tyre,16694,37
M0368,T055,2025-12-27 09:01:36.581743,Oil Change,5158,15
M0369,T060,2026-03-06 09:01:36.581743,Engine,1316,34
M0370,T068,2026-05-02 09:01:36.581743,Tyre,15948,18
M0371,T004,2025-12-29 09:01:36.581743,Brake,15362,44
M0372,T072,2026-08-02 09:01:36.581743,Electrical,4589,38
M0373,T005,2026-01-08 09:01:36.581743,Tyre,21306,38
M0374,T017,2026-08-04 09:01:36.581743,Oil Change,10855,4
M0375,T007,2026-02-22 09:01:36.581743,Electrical,25149,48
M0376,T098,2025-12-20 09:01:36.581743,Brake,13879,40
M0377,T094,2025-10-31 09:01:36.581743,Brake,28315,14
M0378,T042,2026-05-22 09:01:36.581743,Tyre,18705,19
M0379,T066,2026-02-05 09:01:36.581743,Tyre,15714,4
M0380,T065,2026-06-28 09:01:36.581743,Engine,8340,38
M0381,T068,2026-02-18 09:01:36.581743,Tyre,9988,29
M0382,T024,2026-07-03 09:01:36.581743,Engine,6510,6
M0383,T022,2026-06-06 09:01:36.582910,Oil Change,23489,11
M0384,T002,2026-03-17 09:01:36.582910,Tyre,1048,15
M0385,T098,2026-05-28 09:01:36.582910,Engine,2997,3
M0386,T003,2025-12-10 09:01:36.582910,Electrical,13350,17
M0387,T038,2026-02-22 09:01:36.582910,Oil Change,8840,39
M0388,T015,2025-11-07 09:01:36.582910,Engine,1110,35
M0389,T067,2025-11-28 09:01:36.582910,Electrical,3948,9
M0390,T033,2026-07-18 09:01:36.582910,Oil Change,27159,2
M0391,T003,2025-11-24 09:01:36.582910,Engine,13598,38
M0392,T097,2025-10-30 09:01:36.582910,Brake,27882,17
M0393,T018,2025-10-01 09:01:36.582910,Oil Change,7604,31
M0394,T095,2025-11-23 09:01:36.582910,Electrical,26340,38
M0395,T094,2026-01-24 09:01:36.582910,Electrical,2465,26
M0396,T002,2025-12-13 09:01:36.582910,Tyre,10837,36
M0397,T011,2025-12-10 09:01:36.584170,Oil Change,16729,18
M0398,T050,2026-05-14 09:01:36.584170,Engine,2660,3
M0399,T077,2025-11-19 09:01:36.584170,Electrical,10087,45
M0400,T029,2026-05-12 09:01:36.584170,Oil Change,4890,8
M0401,T093,2026-05-14 09:01:36.584170,Oil Change,3702,8
M0402,T067,2026-08-04 09:01:36.584170,Tyre,4029,44
M0403,T078,2025-12-06 09:01:36.584170,Tyre,23750,18
M0404,T043,2026-01-03 09:01:36.584170,Brake,25878,38
M0405,T040,2026-07-02 09:01:36.584170,Engine,7196,42
M0406,T034,2025-10-11 09:01:36.584170,Engine,3241,25
M0407,T027,2026-04-04 09:01:36.584170,Brake,10100,28
M0408,T053,2026-09-01 09:01:36.584170,Oil Change,11539,26
M0409,T074,2025-11-10 09:01:36.584170,Electrical,9204,20
M0410,T075,2025-09-21 09:01:36.584170,Tyre,29286,27
M0411,T056,2026-02-02 09:01:36.585167,Brake,24465,5
M0412,T013,2026-08-18 09:01:36.585167,Electrical,5520,19
M0413,T083,2026-09-08 09:01:36.585167,Brake,24145,36
M0414,T012,2025-09-29 09:01:36.585167,Electrical,5987,10
M0415,T084,2026-05-26 09:01:36.585167,Electrical,15638,40
M0416,T099,2026-04-22 09:01:36.585167,Engine,5891,27
M0417,T019,2026-08-30 09:01:36.585167,Electrical,12359,34
M0418,T009,2026-01-05 09:01:36.585167,Tyre,23571,22
M0419,T018,2026-01-20 09:01:36.585167,Brake,26875,24
M0420,T082,2026-06-10 09:01:36.585167,Oil Change,11209,12
M0421,T029,2026-03-24 09:01:36.585167,Oil Change,1570,2
M0422,T038,2026-08-03 09:01:36.585167,Brake,21308,8
M0423,T099,2025-12-04 09:01:36.585167,Brake,19076,46
M0424,T043,2026-07-24 09:01:36.585167,Electrical,4807,45
