truck_id,truck_type,truck_age_years,total_mileage_km,capacity_tons,purchase_date,fuel_type,driver_id,status
T037,Medium,3,147307,20,2023-09-18 09:01:31.009140,Diesel,D026,Active
T038,Medium,3,20565,20,2023-09-18 09:01:31.009140,CNG,D030,Active
T039,Heavy,7,211497,20,2019-09-19 09:01:31.009140,Diesel,D013,Active
T040,Light,4,171828,5,2022-09-18 09:01:31.009140,CNG,D004,Active
T041,Medium,10,151819,10,2016-09-19 09:01:31.009140,Diesel,D033,Active
T042,Light,3,175984,5,2023-09-18 09:01:31.009140,Diesel,D026,Active
T043,Light,10,171760,5,2016-09-19 09:01:31.009140,Diesel,D027,Active
T044,Light,5,195564,15,2021-09-18 09:01:31.009140,Diesel,D017,Inactive
T045,Heavy,3,189214,15,2023-09-18 09:01:31.009140,CNG,D021,Active
T046,Medium,1,182833,5,2025-09-17 09:01:31.009140,Diesel,D035,Active
T047,Medium,9,54722,15,2017-09-19 09:01:31.009140,Diesel,D016,Active
T048,Light,5,134867,15,2021-09-18 09:01:31.009140,Diesel,D043,Active
T049,Light,11,55203,15,2015-09-20 09:01:31.009140,Diesel,D007,Active
T050,Medium,5,178552,10,2021-09-18 09:01:31.009140,CNG,D014,Active
T051,Medium,9,85829,5,2017-09-19 09:01:31.009140,Diesel,D041,Inactive
T052,Light,5,20929,15,2021-09-18 09:01:31.009140,Diesel,D041,Active
T053,Heavy,3,135824,20,2023-09-18 09:01:31.009140,Diesel,D008,Active
T054,Light,12,163023,5,2014-09-20 09:01:31.009140,CNG,D038,Active
T055,Light,7,30965,15,2019-09-19 09:01:31.009140,CNG,D003,Active
T056,Heavy,4,85412,5,2022-09-18 09:01:31.009140,CNG,D050,Inactive
T057,Heavy,10,60515,10,2016-09-19 09:01:31.009140,Diesel,D012,Inactive
T058,Light,1,213085,15,2025-09-17 09:01:31.009140,CNG,D043,Active
T059,Light,5,226405,5,2021-09-18 09:01:31.009140,CNG,D003,Inactive
T060,Light,4,234063,20,2022-09-18 09:01:31.009140,CNG,D020,Active
T061,Light,4,193023,10,2022-09-18 09:01:31.009140,CNG,D022,Active
T062,Medium,2,112050,20,2024-09-17 09:01:31.009140,CNG,D002,Active
T063,Light,5,172198,15,2021-09-18 09:01:31.009140,Diesel,D007,Inactive
T064,Heavy,6,226157,15,2020-09-18 09:01:31.009140,CNG,D039,Active
T065,Heavy,7,69828,15,2019-09-19 09:01:31.009140,Diesel,D046,Inactive
T066,Heavy,1,231421,10,2025-09-17 09:01:31.009140,CNG,D028,Active
T067,Medium,11,183356,15,2015-09-20 09:01:31.009140,Diesel,D047,Active
T068,Medium,9,194821,20,2017-09-19 09:01:31.010140,CNG,D026,Active
T069,Light,9,70289,20,2017-09-19 09:01:31.010140,CNG,D044,Active
T070,Heavy,10,98892,20,2016-09-19 09:01:31.010140,Diesel,D020,Active
T071,Medium,4,225981,15,2022-09-18 09:01:31.010140,CNG,D029,Inactive
T072,Light,11,154001,20,2015-09-20 09:01:31.010140,Diesel,D043,Active
T073,Heavy,5,194025,15,2021-09-18 09:01:31.010140,Diesel,D049,Active
T074,Medium,11,78888,10,2015-09-20 09:01:31.010140,Diesel,D002,Active
T075,Medium,4,180241,5,2022-09-18 09:01:31.010140,CNG,D027,Active
T076,Heavy,12,120657,20,2014-09-20 09:01:31.010140,CNG,D016,Active
T077,Heavy,11,21453,5,2015-09-20 09:01:31.010140,CNG,D015,Active
T078,Heavy,12,141778,5,2014-09-20 09:01:31.010140,Diesel,D008,Inactive
T079,Medium,3,195001,15,2023-09-18 09:01:31.010140,CNG,D040,Inactive
T080,Medium,9,61722,20,2017-09-19 09:01:31.010140,CNG,D017,Active
T081,Medium,11,220753,20,2015-09-20 09:01:31.010140,Diesel,D018,Inactive
T082,Heavy,2,94901,10,2024-09-17 09:01:31.010140,CNG,D022,Active
T083,Light,9,56273,10,2017-09-19 09:01:31.010140,Diesel,D025,Active
T084,Light,12,36837,20,2014-09-20 09:01:31.010140,CNG,D022,Inactive
T085,Light,7,74220,20,2019-09-19 09:01:31.010140,CNG,D050,Active
T086,Medium,10,145037,5,2016-09-19 09:01:31.010140,CNG,D020,Inactive
T087,Heavy,7,215956,10,2019-09-19 09:01:31.010140,CNG,D015,Active
T088,Medium,7,27608,20,2019-09-19 09:01:31.010140,CNG,D043,Inactive
T089,Light,12,240333,20,2014-09-20 09:01:31.010140,Diesel,D040,Active
T090,Heavy,7,167951,5,2019-09-19 09:01:31.010140,Diesel,D042,Inactive
T091,Medium,3,67639,5,2023-09-18 09:01:31.010140,CNG,D025,Active
T092,Medium,4,105680,15,2022-09-18 09:01:31.010140,CNG,D018,Inactive
T093,Light,5,143288,5,2021-09-18 09:01:31.010140,Diesel,D023,Active
T094,Light,11,224795,5,2015-09-20 09:01:31.010140,Diesel,D016,Active
T095,Heavy,1,59946,10,2025-09-17 09:01:31.010140,Diesel,D031,Active
T096,Light,10,141905,15,2016-09-19 09:01:31.010140,CNG,D011,Active
T097,Medium,3,48337,5,2023-09-18 09:01:31.010140,CNG,D037,Inactive
T098,Heavy,7,71990,5,2019-09-19 09:01:31.010140,Diesel,D007,Active
T099,Heavy,11,231164,5,2015-09-20 09:01:31.010140,Diesel,D023,Inactive
T100,Medium,11,38076,15,2015-09-20 09:01:31.010140,Diesel,D027,Inactive
